#	timestep	total	type0	type1	type2
303 1.603553 6.922457 0.591497 0.332872
304 1.607233 6.939037 0.592664 0.333707
305 1.610038 6.954061 0.593136 0.333624
306 1.612854 6.969557 0.593428 0.333856
307 1.616601 6.986264 0.594684 0.334606
308 1.619460 7.003017 0.594777 0.334634
309 1.622132 7.018080 0.595057 0.334485
310 1.625613 7.033713 0.596129 0.335448
311 1.628903 7.049704 0.596948 0.335926
312 1.631284 7.064711 0.596870 0.335517
313 1.634539 7.080478 0.597642 0.336188
314 1.638169 7.097566 0.598719 0.336573
315 1.639732 7.109363 0.598235 0.336086
316 1.642907 7.127252 0.598557 0.335964
317 1.646363 7.142446 0.599667 0.337065
318 1.648224 7.156356 0.599178 0.336277
319 1.651418 7.172346 0.599826 0.336858
320 1.654414 7.187161 0.600543 0.337152
321 1.657108 7.201700 0.600968 0.337078
322 1.660973 7.219605 0.602083 0.337899
323 1.663270 7.233844 0.601995 0.337798
324 1.666066 7.246075 0.602989 0.338369
325 1.669082 7.264072 0.603045 0.338243
326 1.672410 7.279716 0.604037 0.338598
327 1.676097 7.297690 0.604945 0.339108
328 1.677840 7.310677 0.604443 0.338588
329 1.681063 7.326649 0.605164 0.339073
330 1.684711 7.342627 0.606536 0.339497
331 1.687145 7.356477 0.606661 0.339746
332 1.690128 7.372181 0.607166 0.339923
333 1.692683 7.387919 0.607132 0.339651
334 1.696613 7.405461 0.608455 0.340399
335 1.699569 7.420223 0.609097 0.340802
336 1.702053 7.433948 0.609388 0.340816
337 1.705495 7.452996 0.609698 0.341179
338 1.709152 7.468958 0.611004 0.341938
339 1.711901 7.484259 0.611367 0.341679
340 1.714293 7.499274 0.611205 0.341662
341 1.717287 7.513787 0.611981 0.342012
342 1.720209 7.529133 0.612450 0.342320
343 1.723089 7.544377 0.612911 0.342513
344 1.725686 7.557588 0.613474 0.342631
345 1.728310 7.573291 0.613552 0.342361
346 1.731915 7.588320 0.615010 0.343133
347 1.734309 7.604553 0.614666 0.342636
348 1.736994 7.619080 0.615073 0.342589
349 1.741317 7.636277 0.616817 0.344360
350 1.742763 7.650301 0.615817 0.343009
351 1.746128 7.667118 0.616595 0.343269
352 1.750342 7.682886 0.618541 0.345000
353 1.751618 7.695935 0.617506 0.343750
354 1.754738 7.712363 0.618033 0.343929
355 1.759143 7.729423 0.619967 0.345563
356 1.760768 7.743243 0.619214 0.344507
357 1.764088 7.760101 0.619942 0.344660
358 1.767383 7.775170 0.620893 0.345553
359 1.769282 7.789192 0.620384 0.344960
360 1.772736 7.806365 0.621181 0.345324
361 1.776547 7.823784 0.622302 0.346294
362 1.778177 7.837918 0.621528 0.345029
363 1.782389 7.854723 0.623268 0.346543
364 1.785857 7.872700 0.623953 0.346628
365 1.788020 7.887212 0.623627 0.346402
366 1.790759 7.901789 0.624099 0.346369
367 1.794747 7.918496 0.625599 0.347594
