#	r	total	0-0	0-1	0-2	1-1	1-2	2-2
4.571596 0.861015 1.108218 1.092123 0.690443 0.522530 1.315338 0.887275
4.606361 0.860724 1.105035 1.108759 0.651297 0.515795 1.304441 1.020122
4.641126 0.861804 1.114027 1.128463 0.620359 0.509480 1.289921 1.171430
4.675891 0.861292 1.108294 1.145582 0.594844 0.502483 1.271827 1.329538
4.710656 0.863155 1.125851 1.162243 0.578939 0.498360 1.254127 1.485148
4.745421 0.863663 1.139524 1.172507 0.562779 0.495692 1.233462 1.647957
4.780186 0.865283 1.143229 1.181561 0.553758 0.493877 1.213064 1.840403
4.814951 0.867390 1.145436 1.190125 0.549165 0.492399 1.197209 2.005212
4.849716 0.870856 1.157923 1.201036 0.540110 0.492602 1.181456 2.171102
4.884481 0.872734 1.157110 1.199542 0.535309 0.490387 1.175686 2.342683
4.919246 0.878371 1.162148 1.203819 0.530784 0.493122 1.180732 2.431298
4.954011 0.882322 1.171031 1.203034 0.527171 0.494218 1.193055 2.462014
4.988776 0.886216 1.153306 1.203045 0.517775 0.494406 1.228603 2.351255
5.023541 0.895401 1.147524 1.207492 0.503348 0.500434 1.282465 2.153613
5.058306 0.900440 1.138249 1.203333 0.496329 0.503991 1.329724 1.956614
5.093071 0.907188 1.119594 1.195205 0.484763 0.508230 1.384916 1.797005
5.127836 0.916215 1.113160 1.189137 0.482249 0.515654 1.437146 1.645357
5.162601 0.924711 1.100176 1.181383 0.479601 0.522469 1.486581 1.527010
5.197366 0.931030 1.098125 1.171872 0.483192 0.528276 1.526960 1.409487
5.232130 0.938379 1.085447 1.161958 0.484547 0.537891 1.561955 1.329525
5.266895 0.945002 1.081648 1.158183 0.489244 0.547403 1.586496 1.244043
5.301660 0.949578 1.079486 1.156839 0.494863 0.558164 1.592839 1.187540
5.336425 0.954140 1.080433 1.157267 0.502200 0.569993 1.595310 1.123722
5.371190 0.958892 1.077869 1.166293 0.512493 0.584705 1.581037 1.083329
5.405955 0.961471 1.072721 1.173592 0.522209 0.600624 1.555841 1.050350
5.440720 0.964604 1.078277 1.183836 0.530444 0.620856 1.520594 1.017428
5.475485 0.966762 1.082393 1.199204 0.547751 0.640941 1.473025 0.992653
5.510250 0.967514 1.094162 1.204752 0.557500 0.665149 1.419645 0.983759
5.545015 0.970976 1.086123 1.219633 0.569962 0.693017 1.363937 0.972267
5.579780 0.970962 1.087927 1.225285 0.587290 0.721361 1.298274 0.961899
5.614545 0.974210 1.101069 1.231092 0.596568 0.755374 1.235763 0.956541
5.649310 0.976956 1.105287 1.238461 0.614859 0.790364 1.166217 0.952150
5.684075 0.980142 1.112028 1.232624 0.623357 0.829603 1.105220 0.949964
5.718840 0.985030 1.116381 1.227229 0.643209 0.871888 1.041175 0.960856
5.753605 0.990623 1.116410 1.216337 0.654549 0.917091 0.983403 0.965543
5.788370 0.995901 1.114376 1.202866 0.673590 0.960364 0.928999 0.970144
5.823135 1.002642 1.132540 1.181485 0.689171 1.007253 0.880398 0.973121
5.857900 1.008357 1.141091 1.160449 0.700328 1.051494 0.832715 0.989900
5.892665 1.016708 1.150121 1.135666 0.719239 1.100060 0.790600 1.001786
5.927430 1.021332 1.159461 1.104664 0.727306 1.141651 0.754665 1.012846
5.962195 1.027675 1.164282 1.078807 0.750438 1.182297 0.719937 1.024454
5.996960 1.030404 1.172913 1.047499 0.762945 1.216808 0.688643 1.037690
6.031725 1.035191 1.188262 1.018682 0.786264 1.251092 0.660543 1.054810
6.066490 1.038808 1.190600 0.991520 0.796145 1.280788 0.640632 1.064371
6.101255 1.040686 1.209168 0.965047 0.808645 1.305123 0.618478 1.088081
6.136020 1.042493 1.220327 0.936799 0.828339 1.325062 0.606592 1.104625
6.170785 1.041373 1.229264 0.910949 0.843479 1.339412 0.592843 1.112288
6.205550 1.043128 1.242712 0.889544 0.862441 1.353101 0.585759 1.132981
6.240315 1.041787 1.239267 0.866764 0.873591 1.362667 0.579752 1.143066
6.275080 1.040978 1.249188 0.848002 0.890730 1.368437 0.576105 1.156699
6.309845 1.040223 1.259940 0.830141 0.904905 1.373079 0.575892 1.160753
6.344610 1.039914 1.261181 0.815591 0.917087 1.375206 0.580718 1.167777
6.379375 1.038975 1.271875 0.800808 0.934524 1.374283 0.587488 1.167265
6.414140 1.038977 1.267409 0.789857 0.950953 1.372280 0.598200 1.172906
6.448905 1.040356 1.274264 0.778647 0.962611 1.371338 0.613962 1.171062
6.483670 1.041270 1.268869 0.769131 0.974586 1.369086 0.629237 1.175368
6.518435 1.043980 1.276622 0.762126 0.990286 1.365180 0.650242 1.184252
6.553200 1.048101 1.272510 0.758965 1.008954 1.360931 0.674960 1.194918
6.587965 1.053333 1.266823 0.755125 1.021166 1.359514 0.701490 1.205706
6.622730 1.057892 1.267215 0.750749 1.035757 1.353568 0.732933 1.218833
6.657495 1.062675 1.266685 0.750215 1.052526 1.348156 0.759517 1.236197
6.692260 1.069011 1.256653 0.752819 1.065745 1.340740 0.795083 1.261217
6.727025 1.073893 1.253523 0.755235 1.078921 1.332045 0.825912 1.286889
6.761790 1.080330 1.244100 0.758944 1.087172 1.324851 0.859629 1.327223
6.796555 1.085289 1.235557 0.764063 1.104425 1.312516 0.893873 1.362252
6.831320 1.091460 1.229663 0.772088 1.114560 1.302196 0.927564 1.401435
6.866085 1.096780 1.221924 0.780864 1.130340 1.289397 0.959805 1.445769
6.900850 1.096493 1.205207 0.789068 1.138384 1.269085 0.986572 1.481275
6.935615 1.097999 1.201840 0.797253 1.145925 1.252956 1.011051 1.520555
6.970380 1.096391 1.187312 0.810420 1.150711 1.230875 1.031815 1.549448
7.005145 1.093660 1.176233 0.821867 1.162985 1.209456 1.045588 1.578627
